STATION NAME                                      DATE                PRCP                TMAX                TMIN                
MOULTON 2                                         03 31 2018          0.00                37.9                35.5                
ALICEVILLE                                        03 01 2018          0.35                39.8                37.4                
ALICEVILLE                                        03 02 2018          0.00                38.1                36.8                
ALICEVILLE                                        03 03 2018          0.00                38.3                35.1                
ALICEVILLE                                        03 04 2018          0.00                38.8                36.3                
ALICEVILLE                                        03 05 2018          0.00                39.1                37.1                
ALICEVILLE                                        03 06 2018          0.50                39.1                36.9                
ALICEVILLE                                        03 07 2018          0.00                38.6                35.4                
ALICEVILLE                                        03 08 2018          0.00                37.1                34.9                
ALICEVILLE                                        03 09 2018          0.00                37.7                35.5                
ALICEVILLE                                        03 10 2018          0.00                38.8                34.9                
ALICEVILLE                                        03 11 2018          2.40                39.4                37.5                
ALICEVILLE                                        03 12 2018          0.30                38.2                35.9                
ALICEVILLE                                        03 13 2018          0.00                37.6                35.1                
ALICEVILLE                                        03 14 2018          0.00                37.6                35                  
ALICEVILLE                                        03 15 2018          0.00                37.6                35                  
ALICEVILLE                                        03 16 2018          0.00                38.9                35.5                
ALICEVILLE                                        03 17 2018          0.37                38.7                37.1                
ALICEVILLE                                        03 18 2018          0.30                40.2                37.8                
ALICEVILLE                                        03 19 2018          0.00                38.8                38                  
ALICEVILLE                                        03 20 2018          0.00                40.1                37.1                
ALICEVILLE                                        03 21 2018          0.00                37.6                35.7                
ALICEVILLE                                        03 22 2018          0.00                37.9                35.1                
ALICEVILLE                                        03 23 2018          0.00                38.3                36.1                
ALICEVILLE                                        03 24 2018          0.00                39.3                37.2                
ALICEVILLE                                        03 25 2018          0.00                39.9                37.5                
ALICEVILLE                                        03 26 2018          0.00                39.5                37.2                
ALICEVILLE                                        03 27 2018          0.00                37.7                37.1                
ALICEVILLE                                        03 28 2018          0.00                39                  37.3                
ALICEVILLE                                        03 29 2018          0.00                39.9                38                  
ALICEVILLE                                        03 30 2018          0.65                38.2                36.7                
ALICEVILLE                                        03 31 2018          0.00                38.3                34.4                
RUSSELLVILLE NUMBER 2                             03 02 2018          1.30                38.7                36                  
RUSSELLVILLE NUMBER 2                             03 03 2018          0.00                37.7                35.8                
RUSSELLVILLE NUMBER 2                             03 06 2018          0.20                38.9                35.6                
RUSSELLVILLE NUMBER 2                             03 07 2018          0.00                38                  35.5                
RUSSELLVILLE NUMBER 2                             03 08 2018          0.00                36.7                34.8                
RUSSELLVILLE NUMBER 2                             03 09 2018          0.00                37                  34.6                
RUSSELLVILLE NUMBER 2                             03 10 2018          0.00                37.9                35.5                
RUSSELLVILLE NUMBER 2                             03 11 2018          1.20                38                  35.6                
RUSSELLVILLE NUMBER 2                             03 13 2018          0.00                37.6                34.9                
RUSSELLVILLE NUMBER 2                             03 14 2018          0.00                37.6                35.1                
RUSSELLVILLE NUMBER 2                             03 15 2018          0.00                38.1                34.9                
RUSSELLVILLE NUMBER 2                             03 16 2018          0.00                38.9                36.4                
RUSSELLVILLE NUMBER 2                             03 19 2018          0.10                39.9                36.9                
RUSSELLVILLE NUMBER 2                             03 20 2018          0.40                39.4                36.1                
RUSSELLVILLE NUMBER 2                             03 21 2018          0.00                37.1                35                  
RUSSELLVILLE NUMBER 2                             03 22 2018          0.00                37.2                34.9                
RUSSELLVILLE NUMBER 2                             03 24 2018          0.00                38.8                35.7                
RUSSELLVILLE NUMBER 2                             03 25 2018          0.05                38.6                37.2                
RUSSELLVILLE NUMBER 2                             03 26 2018          0.00                38.5                37.1                
RUSSELLVILLE NUMBER 2                             03 28 2018          0.00                39.2                36.8                
RUSSELLVILLE NUMBER 2                             03 29 2018          2.00                39.4                37.8                
RUSSELLVILLE NUMBER 2                             03 31 2018          0.00                39.2                35.6                
SELMA                                             03 01 2018          0.00                39.4                37.7                
SELMA                                             03 02 2018          0.06                40                  36.7                
SELMA                                             03 03 2018          0.00                38.6                35.8                
SELMA                                             03 04 2018          0.00                39.1                35.6                
SELMA                                             03 05 2018          0.00                39.2                35.8                
SELMA                                             03 06 2018          0.60                39.3                37                  
SELMA                                             03 07 2018          0.30                38.9                36.6                
SELMA                                             03 08 2018          0.00                37.6                35.6                
SELMA                                             03 09 2018          0.00                37.6                35.2                
SELMA                                             03 10 2018          0.00                38.6                35.1                
SELMA                                             03 11 2018          1.05                39.6                36.5                
SELMA                                             03 12 2018          1.03                38.4                36.5                
SELMA                                             03 13 2018          0.00                37.9                35.9                
SELMA                                             03 14 2018          0.00                38                  35.6                
SELMA                                             03 15 2018          0.00                38                  35.3                
SELMA                                             03 16 2018          0.00                38.9                35.1                
SELMA                                             03 17 2018          0.00                38.8                36                  
SELMA                                             03 18 2018          0.00                40.2                38.2                
SELMA                                             03 19 2018          0.20                39.3                38.3                
SELMA                                             03 20 2018          0.00                40                  38.2                
SELMA                                             03 21 2018          0.00                38.3                36.2                
SELMA                                             03 22 2018          0.00                38                  35.8                
SELMA                                             03 23 2018          0.00                38.5                35.6                
SELMA                                             03 24 2018          0.00                39.3                36.4                
SELMA                                             03 25 2018          0.00                39.9                37.5                
SELMA                                             03 26 2018          0.00                40.3                37.4                
SELMA                                             03 27 2018          0.00                37.8                37                  
SELMA                                             03 28 2018          0.00                39.2                37                  
SELMA                                             03 29 2018          0.00                39.9                37.8                
SELMA                                             03 30 2018          0.92                39.9                37.7                
SELMA                                             03 31 2018          0.00                38.8                36.4                
MUSCLE SHOALS REGIONAL AIRPORT                    03 01 2018          0.54                38.4                37                  
MUSCLE SHOALS REGIONAL AIRPORT                    03 02 2018          0.00                37.9                36.2                
MUSCLE SHOALS REGIONAL AIRPORT                    03 03 2018          0.00                38.2                35.8                
MUSCLE SHOALS REGIONAL AIRPORT                    03 04 2018          0.00                38.8                35.7                
MUSCLE SHOALS REGIONAL AIRPORT                    03 05 2018          0.16                38.2                37                  
MUSCLE SHOALS REGIONAL AIRPORT                    03 06 2018          0.00                38.6                36.7                
MUSCLE SHOALS REGIONAL AIRPORT                    03 07 2018          0.00                36.8                35.2                
MUSCLE SHOALS REGIONAL AIRPORT                    03 08 2018          0.00                37                  35                  
MUSCLE SHOALS REGIONAL AIRPORT                    03 09 2018          0.00                38.5                34.7                
MUSCLE SHOALS REGIONAL AIRPORT                    03 10 2018          0.81                38.3                36.7                
MUSCLE SHOALS REGIONAL AIRPORT                    03 11 2018          0.30                38                  35.9                
MUSCLE SHOALS REGIONAL AIRPORT                    03 12 2018          0.00                37.4                35.6                
MUSCLE SHOALS REGIONAL AIRPORT                    03 13 2018          0.00                37.6                35.2                
MUSCLE SHOALS REGIONAL AIRPORT                    03 14 2018          0.00                37.3                35.3                
MUSCLE SHOALS REGIONAL AIRPORT                    03 15 2018          0.00                39.1                35.2                
MUSCLE SHOALS REGIONAL AIRPORT                    03 16 2018          0.00                38.9                36.3                
